,house_id,image,objects,probabilities
0,500,0dcf41b9d3e8563c44246697da7e67a513fab6b2.jpg,car,0.983004629611969
1,500,0dcf41b9d3e8563c44246697da7e67a513fab6b2.jpg,car,0.9787202477455139
2,500,0dcf41b9d3e8563c44246697da7e67a513fab6b2.jpg,car,0.8212841153144836
3,500,0dcf41b9d3e8563c44246697da7e67a513fab6b2.jpg,car,0.8089165091514587
4,500,0dcf41b9d3e8563c44246697da7e67a513fab6b2.jpg,bird,0.5129117369651794
5,500,0dcf41b9d3e8563c44246697da7e67a513fab6b2.jpg,bird,0.5046989321708679
0,501,42167fdfc78e990e1d3a0652a778d577c864d2de.jpg,car,0.983004629611969
1,501,42167fdfc78e990e1d3a0652a778d577c864d2de.jpg,car,0.9787202477455139
2,501,42167fdfc78e990e1d3a0652a778d577c864d2de.jpg,car,0.8212841153144836
3,501,42167fdfc78e990e1d3a0652a778d577c864d2de.jpg,car,0.8089165091514587
4,501,42167fdfc78e990e1d3a0652a778d577c864d2de.jpg,bird,0.5129117369651794
5,501,42167fdfc78e990e1d3a0652a778d577c864d2de.jpg,bird,0.5046989321708679
0,502,61252c266c5fa3a43a9c3f070b430c49af1cb1cf.jpg,car,0.9961270093917847
1,502,61252c266c5fa3a43a9c3f070b430c49af1cb1cf.jpg,car,0.9897003769874573
2,502,61252c266c5fa3a43a9c3f070b430c49af1cb1cf.jpg,car,0.8336586952209473
3,502,61252c266c5fa3a43a9c3f070b430c49af1cb1cf.jpg,car,0.5367270708084106
0,503,50fbd92556f5a27c621d1a47de3466f953db6c20.jpg,car,0.983004629611969
1,503,50fbd92556f5a27c621d1a47de3466f953db6c20.jpg,car,0.9787202477455139
2,503,50fbd92556f5a27c621d1a47de3466f953db6c20.jpg,car,0.8212841153144836
3,503,50fbd92556f5a27c621d1a47de3466f953db6c20.jpg,car,0.8089165091514587
4,503,50fbd92556f5a27c621d1a47de3466f953db6c20.jpg,bird,0.5129117369651794
5,503,50fbd92556f5a27c621d1a47de3466f953db6c20.jpg,bird,0.5046989321708679
0,504,031ecec94c681e2f071d83a0b47a73201ac6a6c4.jpg,car,0.9961270093917847
